Year,Fruits.acf,total.acf,aborted.acf,success.acf,predated.acf,Site,Mean.Fruits,CV.Fruits,m.total,m.aborted,m.sucessess,m.predated,total.cv,aborted.cv,success.cv,predated.cv,Prop.aborted,Prop.sucessess,Prop.predated
2008,0.3706683444425019,0.3806466622759518,0.3599419977814679,0.3188485214294624,0.01628524292134144,McDevitt,19.901840490797547,1.0858572557453525,5.128834355828221,0.9631901840490797,3.8588957055214723,0.3067484662576687,1.094224866090156,1.2256645576451886,0.9804441086375982,3.5476714072463227,0.18779904306220097,0.7523923444976077,0.059808612440191394
2009,0.014824061745706362,0.0727709729782572,0.10571599685065472,-0.028446863361058835,0.2423246630539675,McDevitt,1.4233128834355828,1.99684371189893,0.9263803680981595,0.5276073619631901,0.32515337423312884,0.0736196319018405,2.345940278984215,1.0820860904457403,1.5699571680014126,2.704163456597991,0.5695364238410595,0.3509933774834437,0.07947019867549669
2010,-0.035463226665708385,-0.008494608930051497,-0.015100130483471802,-0.050368088767407865,NA,McDevitt,0.015503875968992248,2.449489742783178,0.08527131782945736,0.06201550387596899,0.023255813953488372,0,5.869315431663524,0.7745966692414835,1.6733200530681511,NA,0.7272727272727273,0.2727272727272727,0
2011,0.1570616390654787,0.030032489117637222,-0.12889653336004628,0.06097296900119803,NA,McDevitt,10.517857142857142,1.0691927020148992,2.8392857142857144,0.5446428571428571,1.6607142857142858,0.6339285714285714,1.3706517029724388,1.3079541427820347,0.9751683178326976,1.8033453859444584,0.19182389937106917,0.5849056603773585,0.2232704402515723
2012,0.016730559808309585,0.11499079124249802,0.05148370832388988,0.02235488305193965,0.17562924939722982,McDevitt,0.422680412371134,1.9542659145375736,0.5463917525773195,0.23711340206185566,0.12371134020618557,0.18556701030927836,3.035261600271288,0.7609512868829745,1.8257418583505536,2.4155657235484878,0.4339622641509434,0.22641509433962267,0.339622641509434
2013,NA,-0.15837988946521334,-0.09185189794559055,NA,-0.048991923592515176,McDevitt,0,NA,0.19117647058823528,0.058823529411764705,0,0.1323529411764706,4.451074470355644,1.4142135623730951,NA,1.1688691731895926,0.3076923076923077,0,0.6923076923076924
2014,NA,0.07846484177362596,0.006368733389975056,NA,-0.08017479670818918,McDevitt,3.6666666666666665,1.1475443248067905,1.7575757575757576,0.696969696969697,0.7272727272727273,0.3333333333333333,1.2320953122635376,0.9223131928520184,0.9625334218796218,2.699862255439544,0.39655172413793105,0.41379310344827586,0.1896551724137931
2015,NA,0.24108352462684837,NA,NA,0.33540015642279086,McDevitt,0,NA,0.10714285714285714,0,0,0.10714285714285714,3.885183419835068,NA,NA,0.47140452079103173,0,0,1
2016,NA,0.36134694815528057,NA,NA,0.3510987694301159,McDevitt,1.6,1.6855055085773067,2.1333333333333333,0.26666666666666666,0.4666666666666667,1.4,1.3469913792827586,1.2479149276559947,1.58409398127024,0.6704822781108916,0.125,0.21875,0.65625
2017,0.3067235104863447,0.46056625486143044,0.08496675972682927,0.36129395640346124,0.44185235369711806,McDevitt,30.4,0.9186696958868145,6.566666666666666,0.5666666666666667,4.833333333333333,1.1666666666666667,1.1895013800790424,1.1624552166683344,0.8858781088734572,1.213953957333768,0.08629441624365482,0.7360406091370558,0.17766497461928935
