"","model","year","tmean_annual"
"284","MRI-ESM2-0",1973,9.26619064570559
"285","MRI-ESM2-0",1974,8.88844152605769
"286","MRI-ESM2-0",1975,8.13095885359125
"287","MRI-ESM2-0",1976,7.76486957633561
"288","MRI-ESM2-0",1977,10.3158795840875
"289","MRI-ESM2-0",1978,7.75930900471315
"290","MRI-ESM2-0",1979,8.52612233057542
"291","MRI-ESM2-0",1980,7.84609306931055
"292","MRI-ESM2-0",1981,9.13572874766449
"293","MRI-ESM2-0",1982,8.62377305154909
"294","MRI-ESM2-0",1983,9.09309133272044
"295","MRI-ESM2-0",1984,8.38481762037945
"296","MRI-ESM2-0",1985,8.57850980447475
"297","MRI-ESM2-0",1986,7.54001910726872
"298","MRI-ESM2-0",1987,7.74144639602531
"299","MRI-ESM2-0",1988,8.8775932321466
"300","MRI-ESM2-0",1989,7.97778278108179
"301","MRI-ESM2-0",1990,9.29628151346467
"302","MRI-ESM2-0",1991,7.89278268896812
"303","MRI-ESM2-0",1992,8.60310261335221
"304","MRI-ESM2-0",1993,8.66238055160255
"305","MRI-ESM2-0",1994,8.47208085530852
"306","MRI-ESM2-0",1995,8.99291077652829
"307","MRI-ESM2-0",1996,9.16724487046281
"308","MRI-ESM2-0",1997,8.50947520678718
"309","MRI-ESM2-0",1998,9.21411847520694
"310","MRI-ESM2-0",1999,9.13987349423927
"311","MRI-ESM2-0",2000,9.73557633010381
"312","MRI-ESM2-0",2001,8.20978676395348
"313","MRI-ESM2-0",2002,10.1572585925639
"314","MRI-ESM2-0",2003,8.95176605215157
"315","MRI-ESM2-0",2004,10.016345612858
"316","MRI-ESM2-0",2005,9.71548758990902
"317","MRI-ESM2-0",2006,9.78556717750901
"318","MRI-ESM2-0",2007,9.43665141956909
"319","MRI-ESM2-0",2008,8.77610022471201
"320","MRI-ESM2-0",2009,9.1633424989747
"321","MRI-ESM2-0",2010,9.80326211402263
"322","MRI-ESM2-0",2011,10.1427534784083
"323","MRI-ESM2-0",2012,9.70571441035883
"324","MRI-ESM2-0",2013,9.15052149369669
"325","MRI-ESM2-0",2014,10.827593178889
